,day,hour,Close,Volume,year,month,date,compound,pos,neg,neu
103,22,19,11.2575,7844108.0,2021,2,2021-02-22 19:30:00+00:00,99.098,183.18,91.97,714.86
104,22,20,11.4475,4451788.0,2021,2,2021-02-22 20:30:00+00:00,42.538,154.51,131.73,693.78
105,23,14,10.9894,8351856.0,2021,2,2021-02-23 14:30:00+00:00,132.401,201.69,97.2,671.12
106,23,15,10.875,2572180.0,2021,2,2021-02-23 15:30:00+00:00,79.956,200.44,150.88,638.71
107,23,16,10.875,2301648.0,2021,2,2021-02-23 16:30:00+00:00,106.70700000000001,251.44,105.87,612.68
108,23,17,11.0102,1385592.0,2021,2,2021-02-23 17:30:00+00:00,31.708000000000002,193.87,159.96,636.16
109,23,18,11.2125,2285224.0,2021,2,2021-02-23 18:30:00+00:00,55.67550000000001,186.48499999999999,136.856,666.63
110,23,19,11.1182,1892328.0,2021,2,2021-02-23 19:30:00+00:00,118.681,184.05,96.83,709.15
111,23,20,11.235,1519800.0,2021,2,2021-02-23 20:30:00+00:00,102.634,221.048,163.074,605.888
112,24,14,11.8975,12471632.0,2021,2,2021-02-24 14:30:00+00:00,75.1472,213.697,129.319,646.964
113,24,15,12.0175,13744848.0,2021,2,2021-02-24 15:30:00+00:00,116.1761,228.87,109.25,631.9
114,24,16,12.1337,3643644.0,2021,2,2021-02-24 16:30:00+00:00,100.809,194.89,103.5,691.57
115,24,17,12.125,1954792.0,2021,2,2021-02-24 17:30:00+00:00,73.12859999999999,179.932,106.657,713.38
116,24,18,12.425,3058904.0,2021,2,2021-02-24 18:30:00+00:00,86.5951,159.466,91.048,718.526
117,24,19,15.5871,54602956.0,2021,2,2021-02-24 19:30:00+00:00,100.1658,200.376,123.933,675.721
